,link1,link2,Tytuł,Cena,Lokalizacja,wielkosc,cena_num,powierzchnia_m2,cena_zl_m2
0,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,/d/oferta/mieszkanie-2-pokojowe-CID3-IDMFrhY.html,Mieszkanie 2-pokojowe,460 000 złdo negocjacji,Koszalin - 09 kwietnia 2024,43 m² - 10697.67 zł/m²,,43.0,10697.67
1,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,/d/oferta/mieszkanie-36-m2-dwa-pokoje-czuby-CID3-IDZwyT1.html,Mieszkanie 36 m2 dwa pokoje Czuby,434 900 złdo negocjacji,Lublin - Odświeżono dnia 09 kwietnia 2024,"36,10 m² - 12047.09 zł/m²",,36.1,12047.09
2,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,https://www.otodom.pl/pl/oferta/bialoleka-2pok-kuchnia-ogrodek-z-2015r-do-wejscia-ID4pZlb.html,Białołęka 2pok+kuchnia+Ogródek z 2015r Do Wejścia!,695 000 zł,"Warszawa, Białołęka - Odświeżono dnia 09 kwietnia 2024",47 m² - 14787.23 zł/m²,695000.0,47.0,14787.23
3,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,/d/oferta/mieszkanie-2-pokojowe-w-bloku-CID3-IDZ9uh1.html,Mieszkanie 2-pokojowe w bloku,195 000 zł,Kamienna Góra - Dzisiaj o 05:29,38 m² - 5131.58 zł/m²,195000.0,38.0,5131.58
4,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,/d/oferta/m3-os-sloneczne-CID3-IDLNXcW.html,M3 os. Słoneczne,420 000 zł,Chełm - Dzisiaj o 05:29,60 m² - 7000 zł/m²,420000.0,60.0,7000.0
5,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,https://www.otodom.pl/pl/oferta/mieszkanie-dwa-pokoje-mala-sypialnia-ID4poQs.html,Mieszkanie dwa pokoje + mała sypialnia,829 000 zł,"Warszawa, Ursynów - Dzisiaj o 05:28","51,24 m² - 16178.77 zł/m²",829000.0,51.24,16178.77
6,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,/d/oferta/sanok-mieszkanie-58-m2-319-tys-do-negocjacji-CID3-IDZ7le6.html,Sanok Mieszkanie 58 m2 319 tyś do Negocjacji,319 000 złdo negocjacji,Sanok - Odświeżono Dzisiaj o 05:28,"58,57 m² - 5446.47 zł/m²",,58.57,5446.47
7,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,https://www.otodom.pl/pl/oferta/mieszkanie-do-kapitalnego-remontu-ID4oI6h.html,Mieszkanie do kapitalnego remontu!,619 000 zł,"Wrocław, Stare Miasto - Dzisiaj o 05:27","62,30 m² - 9935.79 zł/m²",619000.0,62.3,9935.79
8,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,https://www.otodom.pl/pl/oferta/rozkladowa-2-pokojowe-mieszkanie-ul-stefczyka-ID4pzyE.html,Rozkładowa 2 pokojowe mieszkanie | ul. Stefczyka,523 000 zł,"Wrocław, Śródmieście - Dzisiaj o 05:26","48,28 m² - 10832.64 zł/m²",523000.0,48.28,10832.64
9,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,https://www.otodom.pl/pl/oferta/brodno-2-pokoje-37-57-ID4pxlu.html,Bródno 2 pokoje 37.57,660 000 zł,"Warszawa, Targówek - Dzisiaj o 05:25","37,57 m² - 17567.21 zł/m²",660000.0,37.57,17567.21
10,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,/d/oferta/przytulne-mieszkanie-na-sprzedaz-blisko-plazy-umk-CID3-IDYU3IH.html,"Przytulne mieszkanie na sprzedaż blisko Plazy, UMK",375 000 zł,Toruń - Dzisiaj o 05:25,"33,96 m² - 11042.4 zł/m²",375000.0,33.96,11042.4
11,https://www.olx.pl/nieruchomosci/mieszkania/sprzedaz/,https://www.otodom.pl/pl/oferta/3-pokoje-karwiny-wielki-kack-ul-starodworcowa-ID4pzm2.html,3 pokoje Karwiny Wielki Kack ul. Starodworcowa,699 000 zł,"Gdynia, Karwiny - Dzisiaj o 05:25","61,82 m² - 11307.02 zł/m²",699000.0,61.82,11307.02
